category,recommendation,response
Vegetable,freeze-dried broccoli,"For your vegetable needs, you can have freeze-dried broccoli on the ISS."
Carbohydrate,whole grain tortillas,"For your carbohydrate needs, you can have whole grain tortillas on the ISS."
Snack,energy gel,"For your snack needs, you can have energy gel on the ISS."
Fat,avocado puree,"For your fat needs, you can have avocado puree on the ISS."
Fat,peanut butter,"For your fat needs, you can have peanut butter on the ISS."
Fruit,applesauce pouch,"For your fruit needs, you can have applesauce pouch on the ISS."
Snack,dried fruit mix,"For your snack needs, you can have dried fruit mix on the ISS."
Fruit,freeze-dried strawberries,"For your fruit needs, you can have freeze-dried strawberries on the ISS."
Fruit,banana flakes,"For your fruit needs, you can have banana flakes on the ISS."
Protein,turkey slices,"For your protein needs, you can have turkey slices on the ISS."
Vegetable,mixed vegetable cubes,"For your vegetable needs, you can have mixed vegetable cubes on the ISS."
Carbohydrate,instant rice,"For your carbohydrate needs, you can have instant rice on the ISS."
Protein,thermostabilized beef,"For your protein needs, you can have thermostabilized beef on the ISS."
Fat,nuts,"For your fat needs, you can have nuts on the ISS."
Vegetable,freeze-dried broccoli,"For your vegetable needs, you can have freeze-dried broccoli on the ISS."
Snack,dried fruit mix,"For your snack needs, you can have dried fruit mix on the ISS."
Vegetable,freeze-dried broccoli,"For your vegetable needs, you can have freeze-dried broccoli on the ISS."
Protein,freeze-dried chicken,"For your protein needs, you can have freeze-dried chicken on the ISS."
Snack,protein bar,"For your snack needs, you can have protein bar on the ISS."
Fat,olive oil packets,"For your fat needs, you can have olive oil packets on the ISS."
Carbohydrate,potatoes,"For your carbohydrate needs, you can have potatoes on the ISS."
Snack,energy gel,"For your snack needs, you can have energy gel on the ISS."
Vegetable,thermostabilized carrots,"For your vegetable needs, you can have thermostabilized carrots on the ISS."
Fruit,thermostabilized peaches,"For your fruit needs, you can have thermostabilized peaches on the ISS."
Vegetable,thermostabilized carrots,"For your vegetable needs, you can have thermostabilized carrots on the ISS."
Snack,energy gel,"For your snack needs, you can have energy gel on the ISS."
Fruit,thermostabilized peaches,"For your fruit needs, you can have thermostabilized peaches on the ISS."
Fat,nuts,"For your fat needs, you can have nuts on the ISS."
Fat,peanut butter,"For your fat needs, you can have peanut butter on the ISS."
Vegetable,spinach flakes,"For your vegetable needs, you can have spinach flakes on the ISS."
Fruit,banana flakes,"For your fruit needs, you can have banana flakes on the ISS."
Vegetable,spinach flakes,"For your vegetable needs, you can have spinach flakes on the ISS."
Snack,dried fruit mix,"For your snack needs, you can have dried fruit mix on the ISS."
Fat,nuts,"For your fat needs, you can have nuts on the ISS."
Fruit,applesauce pouch,"For your fruit needs, you can have applesauce pouch on the ISS."
Vegetable,thermostabilized carrots,"For your vegetable needs, you can have thermostabilized carrots on the ISS."
Vegetable,mixed vegetable cubes,"For your vegetable needs, you can have mixed vegetable cubes on the ISS."
Fruit,thermostabilized peaches,"For your fruit needs, you can have thermostabilized peaches on the ISS."
Carbohydrate,potatoes,"For your carbohydrate needs, you can have potatoes on the ISS."
Carbohydrate,instant rice,"For your carbohydrate needs, you can have instant rice on the ISS."
Snack,energy gel,"For your snack needs, you can have energy gel on the ISS."
Protein,tofu cubes,"For your protein needs, you can have tofu cubes on the ISS."
Carbohydrate,potatoes,"For your carbohydrate needs, you can have potatoes on the ISS."
Vegetable,freeze-dried broccoli,"For your vegetable needs, you can have freeze-dried broccoli on the ISS."
Protein,thermostabilized beef,"For your protein needs, you can have thermostabilized beef on the ISS."
Snack,energy gel,"For your snack needs, you can have energy gel on the ISS."
Fruit,banana flakes,"For your fruit needs, you can have banana flakes on the ISS."
Carbohydrate,pasta,"For your carbohydrate needs, you can have pasta on the ISS."
Fat,peanut butter,"For your fat needs, you can have peanut butter on the ISS."
Fruit,banana flakes,"For your fruit needs, you can have banana flakes on the ISS."
Fat,nuts,"For your fat needs, you can have nuts on the ISS."
Fat,nuts,"For your fat needs, you can have nuts on the ISS."
Fat,olive oil packets,"For your fat needs, you can have olive oil packets on the ISS."
Fruit,banana flakes,"For your fruit needs, you can have banana flakes on the ISS."
Fat,peanut butter,"For your fat needs, you can have peanut butter on the ISS."
Snack,space chocolate,"For your snack needs, you can have space chocolate on the ISS."
Fruit,thermostabilized peaches,"For your fruit needs, you can have thermostabilized peaches on the ISS."
Snack,energy gel,"For your snack needs, you can have energy gel on the ISS."
Carbohydrate,potatoes,"For your carbohydrate needs, you can have potatoes on the ISS."
Fat,peanut butter,"For your fat needs, you can have peanut butter on the ISS."
Carbohydrate,instant rice,"For your carbohydrate needs, you can have instant rice on the ISS."
Snack,space chocolate,"For your snack needs, you can have space chocolate on the ISS."
Snack,dried fruit mix,"For your snack needs, you can have dried fruit mix on the ISS."
Fruit,freeze-dried strawberries,"For your fruit needs, you can have freeze-dried strawberries on the ISS."
Protein,freeze-dried chicken,"For your protein needs, you can have freeze-dried chicken on the ISS."
Carbohydrate,pasta,"For your carbohydrate needs, you can have pasta on the ISS."
Fat,avocado puree,"For your fat needs, you can have avocado puree on the ISS."
Fat,avocado puree,"For your fat needs, you can have avocado puree on the ISS."
Fruit,applesauce pouch,"For your fruit needs, you can have applesauce pouch on the ISS."
Vegetable,spinach flakes,"For your vegetable needs, you can have spinach flakes on the ISS."
Fruit,banana flakes,"For your fruit needs, you can have banana flakes on the ISS."
Carbohydrate,oatmeal,"For your carbohydrate needs, you can have oatmeal on the ISS."
Vegetable,mixed vegetable cubes,"For your vegetable needs, you can have mixed vegetable cubes on the ISS."
Fat,peanut butter,"For your fat needs, you can have peanut butter on the ISS."
Carbohydrate,instant rice,"For your carbohydrate needs, you can have instant rice on the ISS."
Protein,tofu cubes,"For your protein needs, you can have tofu cubes on the ISS."
Carbohydrate,instant rice,"For your carbohydrate needs, you can have instant rice on the ISS."
Snack,dried fruit mix,"For your snack needs, you can have dried fruit mix on the ISS."
Carbohydrate,whole grain tortillas,"For your carbohydrate needs, you can have whole grain tortillas on the ISS."
Fruit,thermostabilized peaches,"For your fruit needs, you can have thermostabilized peaches on the ISS."
Snack,protein bar,"For your snack needs, you can have protein bar on the ISS."
Protein,tofu cubes,"For your protein needs, you can have tofu cubes on the ISS."
Snack,protein bar,"For your snack needs, you can have protein bar on the ISS."
Fat,peanut butter,"For your fat needs, you can have peanut butter on the ISS."
Snack,energy gel,"For your snack needs, you can have energy gel on the ISS."
Snack,space chocolate,"For your snack needs, you can have space chocolate on the ISS."
Vegetable,thermostabilized carrots,"For your vegetable needs, you can have thermostabilized carrots on the ISS."
Snack,space chocolate,"For your snack needs, you can have space chocolate on the ISS."
Fat,peanut butter,"For your fat needs, you can have peanut butter on the ISS."
Carbohydrate,pasta,"For your carbohydrate needs, you can have pasta on the ISS."
Fat,peanut butter,"For your fat needs, you can have peanut butter on the ISS."
Protein,protein shake,"For your protein needs, you can have protein shake on the ISS."
Carbohydrate,oatmeal,"For your carbohydrate needs, you can have oatmeal on the ISS."
Protein,protein shake,"For your protein needs, you can have protein shake on the ISS."
Fruit,banana flakes,"For your fruit needs, you can have banana flakes on the ISS."
Fat,olive oil packets,"For your fat needs, you can have olive oil packets on the ISS."
Fat,olive oil packets,"For your fat needs, you can have olive oil packets on the ISS."
Vegetable,thermostabilized carrots,"For your vegetable needs, you can have thermostabilized carrots on the ISS."
Fat,nuts,"For your fat needs, you can have nuts on the ISS."
Carbohydrate,potatoes,"For your carbohydrate needs, you can have potatoes on the ISS."
Snack,dried fruit mix,"For your snack needs, you can have dried fruit mix on the ISS."
Protein,thermostabilized beef,"For your protein needs, you can have thermostabilized beef on the ISS."
Fruit,freeze-dried strawberries,"For your fruit needs, you can have freeze-dried strawberries on the ISS."
Fruit,thermostabilized peaches,"For your fruit needs, you can have thermostabilized peaches on the ISS."
Fruit,applesauce pouch,"For your fruit needs, you can have applesauce pouch on the ISS."
Fruit,applesauce pouch,"For your fruit needs, you can have applesauce pouch on the ISS."
Fruit,applesauce pouch,"For your fruit needs, you can have applesauce pouch on the ISS."
Protein,turkey slices,"For your protein needs, you can have turkey slices on the ISS."
Vegetable,thermostabilized carrots,"For your vegetable needs, you can have thermostabilized carrots on the ISS."
Fruit,banana flakes,"For your fruit needs, you can have banana flakes on the ISS."
Fruit,thermostabilized peaches,"For your fruit needs, you can have thermostabilized peaches on the ISS."
Vegetable,freeze-dried broccoli,"For your vegetable needs, you can have freeze-dried broccoli on the ISS."
Snack,space chocolate,"For your snack needs, you can have space chocolate on the ISS."
Fat,peanut butter,"For your fat needs, you can have peanut butter on the ISS."
Fat,peanut butter,"For your fat needs, you can have peanut butter on the ISS."
Fat,olive oil packets,"For your fat needs, you can have olive oil packets on the ISS."
Carbohydrate,oatmeal,"For your carbohydrate needs, you can have oatmeal on the ISS."
Vegetable,spinach flakes,"For your vegetable needs, you can have spinach flakes on the ISS."
Fat,peanut butter,"For your fat needs, you can have peanut butter on the ISS."
Carbohydrate,instant rice,"For your carbohydrate needs, you can have instant rice on the ISS."
Fruit,thermostabilized peaches,"For your fruit needs, you can have thermostabilized peaches on the ISS."
Carbohydrate,pasta,"For your carbohydrate needs, you can have pasta on the ISS."
Vegetable,mixed vegetable cubes,"For your vegetable needs, you can have mixed vegetable cubes on the ISS."
Fat,nuts,"For your fat needs, you can have nuts on the ISS."
Fruit,banana flakes,"For your fruit needs, you can have banana flakes on the ISS."
Fat,olive oil packets,"For your fat needs, you can have olive oil packets on the ISS."
Carbohydrate,potatoes,"For your carbohydrate needs, you can have potatoes on the ISS."
Protein,protein shake,"For your protein needs, you can have protein shake on the ISS."
